	C3.DC.M...C5.OH	C5.DC...C6.OH	C0	C10	C10.1	C10.2	C12	C12.DC	C12.1	C14	C14.1	C14.1.OH	C14.2	C14.2.OH	C16	C16.1	C16.1.OH	C16.2.OH	C18	C18.1	C18.2	C2	C3	C3.DC...C4.OH	C5.OH	C4	C4.1.DC...C6	C5	C6.OH	C5.M.DC	C5.1	C5.1.DC	C6.1	C7.DC	C8	C8.1	C9	Arg	Gln	Gly	His	Met	Orn	Phe	Pro	Ser	Thr	Trp	Tyr	Val	xLeu	PC.aa.C24.0	PC.aa.C26.0	PC.aa.C28.1	PC.aa.C30.0	PC.aa.C32.0	PC.aa.C32.1	PC.aa.C32.2	PC.aa.C32.3	PC.aa.C34.1	PC.aa.C34.2	PC.aa.C34.3	PC.aa.C34.4	PC.aa.C36.0	PC.aa.C36.1	PC.aa.C36.2	PC.aa.C36.3	PC.aa.C36.4	PC.aa.C36.5	PC.aa.C36.6	PC.aa.C38.0	PC.aa.C38.3	PC.aa.C38.4	PC.aa.C38.5	PC.aa.C38.6	PC.aa.C40.1	PC.aa.C40.2	PC.aa.C40.3	PC.aa.C40.4	PC.aa.C40.5	PC.aa.C40.6	PC.aa.C42.0	PC.aa.C42.1	PC.aa.C42.2	PC.aa.C42.4	PC.aa.C42.5	PC.aa.C42.6	PC.ae.C30.0	PC.ae.C30.2	PC.ae.C32.1	PC.ae.C32.2	PC.ae.C34.0	PC.ae.C34.1	PC.ae.C34.2	PC.ae.C34.3	PC.ae.C36.0	PC.ae.C36.1	PC.ae.C36.2	PC.ae.C36.3	PC.ae.C36.4	PC.ae.C36.5	PC.ae.C38.0	PC.ae.C38.1	PC.ae.C38.2	PC.ae.C38.3	PC.ae.C38.4	PC.ae.C38.5	PC.ae.C38.6	PC.ae.C40.0	PC.ae.C40.1	PC.ae.C40.2	PC.ae.C40.3	PC.ae.C40.4	PC.ae.C40.5	PC.ae.C40.6	PC.ae.C42.0	PC.ae.C42.1	PC.ae.C42.2	PC.ae.C42.3	PC.ae.C42.4	PC.ae.C42.5	PC.ae.C44.3	PC.ae.C44.4	PC.ae.C44.5	PC.ae.C44.6	lysoPC.a.C14.0	lysoPC.a.C16.0	lysoPC.a.C16.1	lysoPC.a.C17.0	lysoPC.a.C18.0	lysoPC.a.C18.1	lysoPC.a.C18.2	lysoPC.a.C20.3	lysoPC.a.C20.4	lysoPC.a.C24.0	lysoPC.a.C26.1	lysoPC.a.C28.0	lysoPC.a.C28.1	SM..OH..C14.1	SM..OH..C16.1	SM..OH..C22.1	SM..OH..C22.2	SM..OH..C24.1	SM.C16.0	SM.C16.1	SM.C18.0	SM.C18.1	SM.C20.2	SM.C24.0	SM.C24.1	SM.C26.0	SM.C26.1	H1
C3.DC.M...C5.OH	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C5.DC...C6.OH	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	3	100	100	100	100	100	100	100	100	100	3	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C0	100	100	100	5	100	100	6	7	100	7	100	100	100	100	8	100	100	100	9	100	100	1	100	100	100	2	100	100	100	100	100	100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C10	100	100	5	100	100	100	1	2	100	2	100	100	100	100	3	100	100	100	4	100	100	4	100	100	100	3	100	100	100	100	100	100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C10.1	100	100	100	100	100	100	100	100	1	100	2	100	100	100	100	3	100	100	100	4	100	100	100	100	100	100	4	100	100	100	100	100	2	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C10.2	100	100	100	100	100	100	100	100	100	100	100	100	2	100	100	100	100	100	100	100	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C12	100	100	6	1	100	100	100	1	100	1	100	100	100	100	2	100	100	100	3	100	100	5	100	100	100	4	100	100	100	100	100	100	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C12.DC	100	100	7	2	100	100	1	100	100	2	100	100	100	100	3	100	100	100	4	100	100	6	100	100	100	5	100	100	100	100	100	100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C12.1	100	100	100	100	1	100	100	100	100	100	1	100	100	100	100	2	100	100	100	3	100	100	100	100	100	100	5	100	100	100	100	100	3	100	100	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
C14	100	100	7	2	100	100	1	2	100	100	100	100	100	100	1	100	100	100	2	100	100	6	100	100	100	5	100	100	100	100	100	100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
