trait	gc_lambda
Arg	1.02860023050947
C0	1.02024429441573
C10.1	1.02228992893256
C10.2	1.01111179111785
C10	0.997130237592
C12.1	1.01342100118912
C12.DC	1.00178629854863
C12	1.00081892478533
C14.1.OH	0.999517476842523
C14.1	1.01555382073763
C14.2.OH	1.01367184798401
C14.2	1.00487156389521
C14	1.00873344263595
C16.1.OH	1.00126192558137
C16.1	1.00127080366068
C16.2.OH	0.992864177165577
C16	1.01084604707838
C18.1	0.996651193797605
C18.2	1.02004168174129
C18	1.02435497342983
C2	1.01680993646
C3.DC...C4.OH	0.99213346908548
C3.DC.M...C5.OH	1.00713965079464
C3	1.00900260092506
C4.1.DC...C6	1.00290609921682
C4	1.01817776690232
C5.1.DC	1.01672882126786
C5.1	1.01937535256323
C5.DC...C6.OH	1.01559192831124
C5.M.DC	1.00721339446656
C5	1.01068275404341
C6.1	1.00118765797266
C7.DC	1.01303889030028
C8.1	0.990271222780745
C8	1.01031835659346
C9	1.00964385588473
Gln	1.01920271350682
Gly	1.01137247564849
H1	1.01169733819589
His	1.01640345708477
lysoPC.a.C14.0	0.997659404370974
lysoPC.a.C16.0	1.03318805641716
lysoPC.a.C16.1	1.00006085960168
lysoPC.a.C17.0	1.01279225974557
lysoPC.a.C18.0	1.03304942098165
lysoPC.a.C18.1	0.991531310183579
lysoPC.a.C18.2	1.00950333637407
lysoPC.a.C20.3	1.01265253309499
lysoPC.a.C20.4	1.00440620388173
lysoPC.a.C24.0	1.00375847095119
lysoPC.a.C26.1	1.01652614052579
lysoPC.a.C28.0	1.0054789912761
lysoPC.a.C28.1	1.00473759129316
Met	1.01174686282336
Orn	1.0121781279585
PC.aa.C24.0	1.00423100643745
PC.aa.C26.0	1.013592925967
PC.aa.C28.1	1.01908749697732
PC.aa.C30.0	1.00093384556179
PC.aa.C32.0	1.00451979856355
PC.aa.C32.1	0.994728119619074
PC.aa.C32.2	1.01266405563457
PC.aa.C32.3	1.01270774865337
PC.aa.C34.1	0.993459666027954
PC.aa.C34.2	1.00974376824134
PC.aa.C34.3	1.00422627016568
PC.aa.C34.4	0.999373548839979
PC.aa.C36.0	1.02190553941357
PC.aa.C36.1	1.00340676993054
PC.aa.C36.2	1.02286276602396
PC.aa.C36.3	0.985114205858146
PC.aa.C36.4	1.01198553883358
PC.aa.C36.5	1.00057712429861
PC.aa.C36.6	0.999826608140514
PC.aa.C38.0	1.02222868515925
PC.aa.C38.3	1.00953109285345
PC.aa.C38.4	1.00296874589957
PC.aa.C38.5	1.0101190268274
PC.aa.C38.6	1.01285480026166
PC.aa.C40.1	1.00186762278666
PC.aa.C40.2	0.998767633532946
PC.aa.C40.3	0.991868879659589
PC.aa.C40.4	1.00094367871627
PC.aa.C40.5	1.02379412305124
PC.aa.C40.6	1.02451180768977
PC.aa.C42.0	1.01010175238065
PC.aa.C42.1	1.00832828719339
PC.aa.C42.2	1.00399786182304
PC.aa.C42.4	1.00300233779966
PC.aa.C42.5	0.998764826385619
PC.aa.C42.6	1.01266646966122
PC.ae.C30.0	1.00772461635222
PC.ae.C30.2	1.01170402680962
PC.ae.C32.1	1.01764897239106
PC.ae.C32.2	1.00884924414721
PC.ae.C34.0	1.00618469927475
PC.ae.C34.1	1.02070392137835
PC.ae.C34.2	0.983204977879545
PC.ae.C34.3	1.02772780546345
PC.ae.C36.0	1.00638129613578
PC.ae.C36.1	1.00234948924274
PC.ae.C36.2	1.00814147925017
PC.ae.C36.3	1.00375023389721
PC.ae.C36.4	1.01303936633912
PC.ae.C36.5	1.05484356942195
PC.ae.C38.0	1.00062248276414
PC.ae.C38.1	1.00721872217305
PC.ae.C38.2	1.00377922792173
PC.ae.C38.3	0.997299044459511
PC.ae.C38.4	1.01658920157706
PC.ae.C38.5	1.01873749174068
PC.ae.C38.6	1.02009392767315
PC.ae.C40.0	1.02713441631527
PC.ae.C40.1	1.01708219102086
PC.ae.C40.2	1.01161038509813
PC.ae.C40.3	1.01457079608613
PC.ae.C40.4	1.01116810561952
PC.ae.C40.5	1.0314471347323
PC.ae.C40.6	1.00719036927968
PC.ae.C42.0	0.998202205405534
PC.ae.C42.1	1.00656535504359
PC.ae.C42.2	1.02143725659928
PC.ae.C42.3	1.00633765551696
PC.ae.C42.4	1.00048750793252
PC.ae.C42.5	1.01136941920497
PC.ae.C44.3	0.998803343195298
PC.ae.C44.4	1.00466557869371
PC.ae.C44.5	1.01754027389604
PC.ae.C44.6	0.99434794594445
Phe	1.00297014692135
Pro	1.00127389704391
Ser	1.01233239701062
SM.C16.0	1.01361910827569
SM.C16.1	1.01781632561078
SM.C18.0	1.01033824333575
SM.C18.1	1.01413018972508
SM.C20.2	1.01296255903975
SM.C24.0	1.00624723096142
SM.C24.1	0.997444659607055
SM.C26.0	1.01193007206396
SM.C26.1	1.01291939605222
SM..OH..C14.1	1.0145566105365
SM..OH..C16.1	1.00862586483659
SM..OH..C22.1	1.01430452106946
SM..OH..C22.2	1.00539232111346
SM..OH..C24.1	1.00978815429047
Thr	1.02458052954698
Trp	1.02115838781484
Tyr	1.00913655462139
Val	1.01065157734755
xLeu	1.00544731613838
