trait	gc_lambda
Arg	1.01557304336378
C0	1.01382959918612
C10.1	1.01194096381881
C10.2	1.00697293236456
C10	1.00366980356328
C12.1	1.02522678496038
C12.DC	1.00870366165464
C12	1.01235199599402
C14.1.OH	0.997662726122949
C14.1	1.00869635550334
C14.2.OH	1.00958521061044
C14.2	0.996281908727328
C14	1.01120657329504
C16.1.OH	0.996889902197298
C16.1	0.996081573994876
C16.2.OH	0.991801469785417
C16	1.01576766971432
C18.1	1.00722264177154
C18.2	1.01422663690505
C18	1.01874603060055
C2	1.0067204959318
C3.DC...C4.OH	0.992791095561925
C3.DC.M...C5.OH	1.01846350274756
C3	1.00869998919172
C4.1.DC...C6	1.00519818498375
C4	1.01792485707287
C5.1.DC	1.0273690415358
C5.1	1.01502291566458
C5.DC...C6.OH	1.01397272959712
C5.M.DC	1.00416527497191
C5	1.02951804857877
C6.1	0.996395707666
C7.DC	1.01244452363799
C8.1	0.993421832406852
C8	1.02028474807676
C9	1.01901509158137
Gln	1.01137591030955
Gly	0.9987789973763
H1	1.00823260755725
His	0.990358408131849
lysoPC.a.C14.0	1.00030945724696
lysoPC.a.C16.0	1.01636063173848
lysoPC.a.C16.1	1.02560687378086
lysoPC.a.C17.0	1.00837793812618
lysoPC.a.C18.0	1.01322239360156
lysoPC.a.C18.1	1.01409999968213
lysoPC.a.C18.2	1.00138010229504
lysoPC.a.C20.3	0.986223531260299
lysoPC.a.C20.4	1.00317171896529
lysoPC.a.C24.0	1.00471411992361
lysoPC.a.C26.1	1.0193463093842
lysoPC.a.C28.0	1.01642402420663
lysoPC.a.C28.1	1.01280955845724
Met	0.991023998117295
Orn	1.00003372571992
PC.aa.C24.0	1.00682222599648
PC.aa.C26.0	1.0100196871465
PC.aa.C28.1	1.02650280085354
PC.aa.C30.0	1.0005148949875
PC.aa.C32.0	0.989683005598982
PC.aa.C32.1	1.00101480598791
PC.aa.C32.2	1.02099725503914
PC.aa.C32.3	1.01966286327322
PC.aa.C34.1	0.993783667710067
PC.aa.C34.2	0.996434409066526
PC.aa.C34.3	1.00643039205729
PC.aa.C34.4	1.00276583090089
PC.aa.C36.0	1.01977272371495
PC.aa.C36.1	1.00597796966842
PC.aa.C36.2	1.0118407937438
PC.aa.C36.3	0.99287107584228
PC.aa.C36.4	1.00266640506649
PC.aa.C36.5	1.00941666213935
PC.aa.C36.6	1.02041914787709
PC.aa.C38.0	1.02494087187813
PC.aa.C38.3	1.00429806277291
PC.aa.C38.4	1.00151953115618
PC.aa.C38.5	1.00715278667493
PC.aa.C38.6	1.00956273732943
PC.aa.C40.1	1.00242944910038
PC.aa.C40.2	1.00005347759556
PC.aa.C40.3	1.00173710074852
PC.aa.C40.4	1.02246376321689
PC.aa.C40.5	1.00206372753937
PC.aa.C40.6	1.01562712991946
PC.aa.C42.0	1.00763721919121
PC.aa.C42.1	1.00883450922991
PC.aa.C42.2	1.00169627324715
PC.aa.C42.4	1.00759277889906
PC.aa.C42.5	0.991349694210728
PC.aa.C42.6	1.00277944268626
PC.ae.C30.0	1.00475872634786
PC.ae.C30.2	1.00653913007084
PC.ae.C32.1	1.02629845369299
PC.ae.C32.2	1.00598893529632
PC.ae.C34.0	1.01049251830466
PC.ae.C34.1	1.01824254330708
PC.ae.C34.2	0.998045168859837
PC.ae.C34.3	1.01197770425002
PC.ae.C36.0	1.01568399689871
PC.ae.C36.1	0.984337407731718
PC.ae.C36.2	1.0065648058018
PC.ae.C36.3	1.01811534446554
PC.ae.C36.4	1.0086249066893
PC.ae.C36.5	1.01589295799977
PC.ae.C38.0	1.01003524242228
PC.ae.C38.1	1.00133395513097
PC.ae.C38.2	1.00638770783066
PC.ae.C38.3	1.02044337770142
PC.ae.C38.4	1.005283056989
PC.ae.C38.5	1.01438636742337
PC.ae.C38.6	1.02138667580455
PC.ae.C40.0	1.00139329687359
PC.ae.C40.1	1.0134063943895
PC.ae.C40.2	1.0273811783632
PC.ae.C40.3	1.01736608683165
PC.ae.C40.4	1.00566144615384
PC.ae.C40.5	1.03097818773897
PC.ae.C40.6	1.03425279348016
PC.ae.C42.0	0.996784988654663
PC.ae.C42.1	1.02036283442938
PC.ae.C42.2	1.01299914316653
PC.ae.C42.3	1.02197376715463
PC.ae.C42.4	1.0060038432686
PC.ae.C42.5	1.01522886224029
PC.ae.C44.3	0.996014699142148
PC.ae.C44.4	1.00506535413756
PC.ae.C44.5	1.01423264864396
PC.ae.C44.6	1.02619507387616
Phe	1.00189162363215
Pro	1.00020817417488
Ser	1.00010438160608
SM.C16.0	0.994973064344822
SM.C16.1	0.995910038566597
SM.C18.0	0.993919561791496
SM.C18.1	0.988468962689105
SM.C20.2	1.01831002155464
SM.C24.0	1.02519849672753
SM.C24.1	1.00467039217988
SM.C26.0	1.01393931588329
SM.C26.1	1.01556671249366
SM..OH..C14.1	1.01995851097831
SM..OH..C16.1	1.01280742482574
SM..OH..C22.1	1.01493396531818
SM..OH..C22.2	1.01635622969881
SM..OH..C24.1	1.01671224895432
Thr	1.01733777980813
Trp	1.0035758721567
Tyr	1.0086749144474
Val	1.00034045104258
xLeu	0.994077275231719
