trait	gc_lambda
Arg	1.01571647839685
C0	1.01171980793903
C10.1	0.994351694411741
C10.2	1.00180727553066
C10	0.997844231631273
C12.1	0.999721094888181
C12.DC	1.00840171631283
C12	1.0076285661618
C14.1.OH	0.991834520735308
C14.1	0.991669669055633
C14.2.OH	1.00211619491595
C14.2	0.989638812813572
C14	0.99309009397263
C16.1.OH	0.995348014344108
C16.1	0.99766951128171
C16.2.OH	0.986670910860768
C16	1.00671533675922
C18.1	1.01263808859566
C18.2	0.999010535933447
C18	1.01219590043099
C2	1.00629160198013
C3.DC...C4.OH	0.99480607809257
C3.DC.M...C5.OH	1.02490110861627
C3	1.00119205225585
C4.1.DC...C6	1.00076753478073
C4	1.01443806368953
C5.1.DC	1.00746995668898
C5.1	1.01484628033804
C5.DC...C6.OH	0.992090574770294
C5.M.DC	1.00178722979242
C5	1.01405198933097
C6.1	1.00231382105468
C7.DC	1.00186519672963
C8.1	0.991382080263216
C8	0.999436621245141
C9	1.01449676168349
Gln	1.00501370022013
Gly	0.993829724223492
H1	1.00933993307744
His	0.986140932317976
lysoPC.a.C14.0	1.00147443485329
lysoPC.a.C16.0	1.00202123023016
lysoPC.a.C16.1	1.00314701416469
lysoPC.a.C17.0	1.0043773374768
lysoPC.a.C18.0	1.02784791674997
lysoPC.a.C18.1	1.01406645113492
lysoPC.a.C18.2	1.00387388914594
lysoPC.a.C20.3	0.99720227152403
lysoPC.a.C20.4	1.0062024195739
lysoPC.a.C24.0	1.00966931887117
lysoPC.a.C26.1	1.01277775644344
lysoPC.a.C28.0	1.02274584148298
lysoPC.a.C28.1	1.01382358296947
Met	0.997292450405258
Orn	0.990202058830049
PC.aa.C24.0	1.01139854141745
PC.aa.C26.0	1.02201809237429
PC.aa.C28.1	1.02042561548422
PC.aa.C30.0	1.00734270437796
PC.aa.C32.0	0.99313349070412
PC.aa.C32.1	1.01617325979879
PC.aa.C32.2	1.03762272078854
PC.aa.C32.3	1.02906962163679
PC.aa.C34.1	0.998465250232686
PC.aa.C34.2	0.999439718049174
PC.aa.C34.3	1.00415092925787
PC.aa.C34.4	1.01076771842101
PC.aa.C36.0	1.00916838876572
PC.aa.C36.1	1.01047637205
PC.aa.C36.2	1.00709995626226
PC.aa.C36.3	1.01670964692054
PC.aa.C36.4	1.00917782698688
PC.aa.C36.5	1.00601776730461
PC.aa.C36.6	1.01978841152821
PC.aa.C38.0	1.00552551459537
PC.aa.C38.3	1.0062706012331
PC.aa.C38.4	1.01321763768492
PC.aa.C38.5	0.997014630825573
PC.aa.C38.6	1.022541735334
PC.aa.C40.1	1.0179487088244
PC.aa.C40.2	1.00424157095282
PC.aa.C40.3	0.996824154522082
PC.aa.C40.4	1.00951618022712
PC.aa.C40.5	0.987364797637597
PC.aa.C40.6	1.01164161654012
PC.aa.C42.0	0.994573639519894
PC.aa.C42.1	1.00544905452432
PC.aa.C42.2	1.01007346917094
PC.aa.C42.4	1.01197920364054
PC.aa.C42.5	0.98423265918169
PC.aa.C42.6	1.01837052692148
PC.ae.C30.0	1.00662658031584
PC.ae.C30.2	1.00624742233691
PC.ae.C32.1	0.99786125864874
PC.ae.C32.2	0.999260551206019
PC.ae.C34.0	1.01265287462889
PC.ae.C34.1	0.996203798188024
PC.ae.C34.2	1.00352046906216
PC.ae.C34.3	0.995368502340396
PC.ae.C36.0	1.02277481110059
PC.ae.C36.1	1.00810721946277
PC.ae.C36.2	1.0178522519713
PC.ae.C36.3	1.00753172448035
PC.ae.C36.4	1.02204014151417
PC.ae.C36.5	1.02968086753954
PC.ae.C38.0	1.0161996157768
PC.ae.C38.1	1.01365511547228
PC.ae.C38.2	1.01906305531253
PC.ae.C38.3	1.01798804352158
PC.ae.C38.4	1.02623923210841
PC.ae.C38.5	1.01842060095341
PC.ae.C38.6	1.02130462788186
PC.ae.C40.0	1.01658089655633
PC.ae.C40.1	1.02121328319122
PC.ae.C40.2	1.01264195923204
PC.ae.C40.3	1.01445673561891
PC.ae.C40.4	1.01205905467756
PC.ae.C40.5	1.01677431997847
PC.ae.C40.6	1.0127042390755
PC.ae.C42.0	1.0136608413609
PC.ae.C42.1	1.01765432509509
PC.ae.C42.2	1.01427723351592
PC.ae.C42.3	1.00208978947939
PC.ae.C42.4	1.01082757251804
PC.ae.C42.5	1.00676229117676
PC.ae.C44.3	1.0014199107792
PC.ae.C44.4	1.01235345090549
PC.ae.C44.5	1.01678460767799
PC.ae.C44.6	1.00023692664116
Phe	0.997210576560487
Pro	1.00350674914582
Ser	0.995292838201128
SM.C16.0	1.00588556498154
SM.C16.1	1.00753094556852
SM.C18.0	1.01473870590613
SM.C18.1	1.01196074659587
SM.C20.2	1.024339764703
SM.C24.0	1.02574690673384
SM.C24.1	1.00471402227519
SM.C26.0	1.01390133435337
SM.C26.1	1.00957869083701
SM..OH..C14.1	1.01307284642185
SM..OH..C16.1	1.01180286943544
SM..OH..C22.1	1.00885984586118
SM..OH..C22.2	1.01275977616949
SM..OH..C24.1	1.00421992896187
Thr	1.01555245744552
Trp	0.9944957312141
Tyr	1.00850122819984
Val	0.998497838706452
xLeu	0.997229910917843
